timestamp,strategy,coin,signal,rsi,ema_fast,ema_slow,atr,price,volume,trigger_met,blocked_reason
2025-11-27T00:39:48.576491+00:00,conservative,ETH-USD,HOLD,50,3020.54,3020.54,0,3020.54,0,False,demo_mode
2025-11-27T00:39:49.622235+00:00,aggressive,SOL-USD,HOLD,50,142.84,142.84,0,142.84,0,False,demo_mode
2025-11-27T00:39:50.561205+00:00,aggressive,AVAX-USD,HOLD,50,14.92,14.92,0,14.92,0,False,demo_mode
2025-11-27T00:39:51.576749+00:00,aggressive,DOGE-USD,HOLD,50,0.1544,0.1544,0,0.1544,0,False,demo_mode
2025-11-27T00:44:52.443631+00:00,conservative,BTC-USD,HOLD,50,90354.66,90354.66,0,90354.66,0,False,demo_mode
2025-11-27T00:44:53.402949+00:00,conservative,ETH-USD,HOLD,50,3023.09,3023.09,0,3023.09,0,False,demo_mode
2025-11-27T00:44:54.411235+00:00,aggressive,SOL-USD,HOLD,50,143.09,143.09,0,143.09,0,False,demo_mode
2025-11-27T00:44:55.425284+00:00,aggressive,AVAX-USD,HOLD,50,14.94,14.94,0,14.94,0,False,demo_mode
2025-11-27T00:44:56.366709+00:00,aggressive,DOGE-USD,HOLD,50,0.1544,0.1544,0,0.1544,0,False,demo_mode
2025-11-27T00:49:57.196177+00:00,conservative,BTC-USD,HOLD,50,90527.4,90527.4,0,90527.4,0,False,demo_mode
2025-11-27T00:49:58.199156+00:00,conservative,ETH-USD,HOLD,50,3044.76,3044.76,0,3044.76,0,False,demo_mode
2025-11-27T00:49:59.187456+00:00,aggressive,SOL-USD,HOLD,50,143.41,143.41,0,143.41,0,False,demo_mode
2025-11-27T00:50:00.183647+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T00:50:01.229130+00:00,aggressive,DOGE-USD,HOLD,50,0.1548,0.1548,0,0.1548,0,False,demo_mode
2025-11-27T00:55:02.014521+00:00,conservative,BTC-USD,HOLD,50,90463.61,90463.61,0,90463.61,0,False,demo_mode
2025-11-27T00:55:03.033499+00:00,conservative,ETH-USD,HOLD,50,3038.15,3038.15,0,3038.15,0,False,demo_mode
2025-11-27T00:55:03.978218+00:00,aggressive,SOL-USD,HOLD,50,142.99,142.99,0,142.99,0,False,demo_mode
2025-11-27T00:55:04.972939+00:00,aggressive,AVAX-USD,HOLD,50,14.96,14.96,0,14.96,0,False,demo_mode
2025-11-27T00:55:05.991791+00:00,aggressive,DOGE-USD,HOLD,50,0.1545,0.1545,0,0.1545,0,False,demo_mode
2025-11-27T01:00:06.878648+00:00,conservative,BTC-USD,HOLD,50,90477.02,90477.02,0,90477.02,0,False,demo_mode
2025-11-27T01:00:08.509112+00:00,conservative,ETH-USD,HOLD,50,3035.61,3035.61,0,3035.61,0,False,demo_mode
2025-11-27T01:00:09.398945+00:00,aggressive,SOL-USD,HOLD,50,142.83,142.83,0,142.83,0,False,demo_mode
2025-11-27T01:00:10.696124+00:00,aggressive,AVAX-USD,HOLD,50,14.94,14.94,0,14.94,0,False,demo_mode
2025-11-27T01:00:11.524464+00:00,aggressive,DOGE-USD,HOLD,50,0.1544,0.1544,0,0.1544,0,False,demo_mode
2025-11-27T01:05:12.274926+00:00,conservative,BTC-USD,HOLD,50,90667.41,90667.41,0,90667.41,0,False,demo_mode
2025-11-27T01:05:13.275508+00:00,conservative,ETH-USD,HOLD,50,3046.02,3046.02,0,3046.02,0,False,demo_mode
2025-11-27T01:05:14.225372+00:00,aggressive,SOL-USD,HOLD,50,143.6,143.6,0,143.6,0,False,demo_mode
2025-11-27T01:05:15.228863+00:00,aggressive,AVAX-USD,HOLD,50,14.97,14.97,0,14.97,0,False,demo_mode
2025-11-27T01:05:16.266432+00:00,aggressive,DOGE-USD,HOLD,50,0.1553,0.1553,0,0.1553,0,False,demo_mode
2025-11-27T01:10:17.097517+00:00,conservative,BTC-USD,HOLD,50,90755.84,90755.84,0,90755.84,0,False,demo_mode
2025-11-27T01:10:18.070329+00:00,conservative,ETH-USD,HOLD,50,3044.43,3044.43,0,3044.43,0,False,demo_mode
2025-11-27T01:10:19.168972+00:00,aggressive,SOL-USD,HOLD,50,143.41,143.41,0,143.41,0,False,demo_mode
2025-11-27T01:10:20.004237+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T01:10:20.994353+00:00,aggressive,DOGE-USD,HOLD,50,0.155,0.155,0,0.155,0,False,demo_mode
2025-11-27T01:15:21.827263+00:00,conservative,BTC-USD,HOLD,50,90658.84,90658.84,0,90658.84,0,False,demo_mode
2025-11-27T01:15:22.831262+00:00,conservative,ETH-USD,HOLD,50,3036.37,3036.37,0,3036.37,0,False,demo_mode
2025-11-27T01:15:23.867293+00:00,aggressive,SOL-USD,HOLD,50,142.84,142.84,0,142.84,0,False,demo_mode
2025-11-27T01:15:24.858973+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T01:15:25.944967+00:00,aggressive,DOGE-USD,HOLD,50,0.1545,0.1545,0,0.1545,0,False,demo_mode
2025-11-27T01:20:26.790473+00:00,conservative,BTC-USD,HOLD,50,90688.84,90688.84,0,90688.84,0,False,demo_mode
2025-11-27T01:20:28.291683+00:00,conservative,ETH-USD,HOLD,50,3031.83,3031.83,0,3031.83,0,False,demo_mode
2025-11-27T01:20:29.161851+00:00,aggressive,SOL-USD,HOLD,50,142.42,142.42,0,142.42,0,False,demo_mode
2025-11-27T01:20:30.179714+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T01:20:31.251379+00:00,aggressive,DOGE-USD,HOLD,50,0.1546,0.1546,0,0.1546,0,False,demo_mode
2025-11-27T01:25:32.013636+00:00,conservative,BTC-USD,HOLD,50,90687.41,90687.41,0,90687.41,0,False,demo_mode
2025-11-27T01:25:32.927637+00:00,conservative,ETH-USD,HOLD,50,3031.6,3031.6,0,3031.6,0,False,demo_mode
2025-11-27T01:25:33.934614+00:00,aggressive,SOL-USD,HOLD,50,142.31,142.31,0,142.31,0,False,demo_mode
2025-11-27T01:25:35.011547+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T01:25:36.022542+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-27T01:30:36.863928+00:00,conservative,BTC-USD,HOLD,50,90692.98,90692.98,0,90692.98,0,False,demo_mode
2025-11-27T01:30:37.890319+00:00,conservative,ETH-USD,HOLD,50,3031.33,3031.33,0,3031.33,0,False,demo_mode
2025-11-27T01:30:39.134002+00:00,aggressive,SOL-USD,HOLD,50,142.25,142.25,0,142.25,0,False,demo_mode
2025-11-27T01:30:40.285118+00:00,aggressive,AVAX-USD,HOLD,50,14.94,14.94,0,14.94,0,False,demo_mode
2025-11-27T01:30:41.339680+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-27T01:35:42.162489+00:00,conservative,BTC-USD,HOLD,50,90639.29,90639.29,0,90639.29,0,False,demo_mode
2025-11-27T01:35:43.174372+00:00,conservative,ETH-USD,HOLD,50,3033.53,3033.53,0,3033.53,0,False,demo_mode
2025-11-27T01:35:44.233431+00:00,aggressive,SOL-USD,HOLD,50,142.22,142.22,0,142.22,0,False,demo_mode
2025-11-27T01:35:45.211899+00:00,aggressive,AVAX-USD,HOLD,50,14.94,14.94,0,14.94,0,False,demo_mode
2025-11-27T01:35:46.216137+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-27T01:40:47.469952+00:00,conservative,BTC-USD,HOLD,50,90648.05,90648.05,0,90648.05,0,False,demo_mode
2025-11-27T01:40:48.152578+00:00,conservative,ETH-USD,HOLD,50,3033.91,3033.91,0,3033.91,0,False,demo_mode
2025-11-27T01:40:49.143156+00:00,aggressive,SOL-USD,HOLD,50,142.54,142.54,0,142.54,0,False,demo_mode
2025-11-27T01:40:50.188439+00:00,aggressive,AVAX-USD,HOLD,50,14.97,14.97,0,14.97,0,False,demo_mode
2025-11-27T01:40:51.193656+00:00,aggressive,DOGE-USD,HOLD,50,0.1546,0.1546,0,0.1546,0,False,demo_mode
2025-11-27T01:45:52.017735+00:00,conservative,BTC-USD,HOLD,50,90683.79,90683.79,0,90683.79,0,False,demo_mode
2025-11-27T01:45:53.003924+00:00,conservative,ETH-USD,HOLD,50,3038.7,3038.7,0,3038.7,0,False,demo_mode
2025-11-27T01:45:54.009172+00:00,aggressive,SOL-USD,HOLD,50,142.68,142.68,0,142.68,0,False,demo_mode
2025-11-27T01:45:55.023614+00:00,aggressive,AVAX-USD,HOLD,50,14.94,14.94,0,14.94,0,False,demo_mode
2025-11-27T01:45:56.064070+00:00,aggressive,DOGE-USD,HOLD,50,0.1547,0.1547,0,0.1547,0,False,demo_mode
2025-11-27T01:50:56.840231+00:00,conservative,BTC-USD,HOLD,50,90698.15,90698.15,0,90698.15,0,False,demo_mode
